State,Value
  1  111 1 1,-0.086189047
  1  111 11 ,-0.038689047
  1  111 111,-0.864149687
  1  1111   ,-0.956114155
  1  1111  1,0.820942203
  1  1111 1 ,0.820942203
  1  1111 11,-1.766649687
  1  11111  ,1.594723141
  1  11111 1,-2.581155937
  1  111111 ,-2.581155937
  1  1111111,0.00713125
  1 1       ,-0.03151247
  1 1      1,-0.665166275
  1 1     1 ,0.033171022
  1 1     11,-0.034916865
  1 1    1  ,-0.665166275
  1 1    1 1,-0.034916865
  1 1    11 ,-0.034916865
  1 1    111,-0.698337296
  1 1   1   ,0.033171022
  1 1   1  1,-0.073605912
  1 1   1 1 ,-0.034916865
  1 1   1 11,-0.737026343
  1 1   11  ,-0.073605912
  1 1   11 1,-1.770620405
  1 1   111 ,-0.737026343
  1 1   1111,-0.038689047
  1 1  1    ,-0.665166275
  1 1  1   1,-0.073605912
  1 1  1  1 ,-0.073605912
  1 1  1  11,-0.737026343
  1 1  1 1  ,-0.034916865
  1 1  1 1 1,-0.741206046
  1 1  1 11 ,-0.820620405
  1 1  1 111,0.775817203
  1 1  11   ,-0.034916865
  1 1  11  1,-0.737026343
  1 1  11 1 ,-0.95
  1 1  11 11,-0.038689047
  1 1  111  ,-0.737026343
  1 1  111 1,-0.95
  1 1  1111 ,-0.081557797
  1 1  11111,-2.581155937
  1 1 1     ,-0.740609916
  1 1 1    1,0
  1 1 1   1 ,-0.034916865
  1 1 1   11,-0.737026343
  1 1 1  1  ,-0.034916865
  1 1 1  1 1,-1.519618234
  1 1 1  11 ,-0.737026343
  1 1 1  111,-0.257776859
  1 1 1 1   ,0.624731384
  1 1 1 1  1,-1.729895093
  1 1 1 1 1 ,-0.737026343
  1 1 1 1 11,-0.169783109
  1 1 1 11  ,-1.641901343
  1 1 1 11 1,0.863810953
  1 1 1 111 ,-0.081557797
  1 1 1 1111,-0.864149687
  1 1 11    ,-0.034916865
  1 1 11   1,-0.737026343
  1 1 11  1 ,-0.657611984
  1 1 11  11,-0.081557797
  1 1 11 1  ,-0.737026343
  1 1 11 1 1,0.820942203
  1 1 11 11 ,-0.896064047
  1 1 11 111,-0.909274688
  1 1 111   ,-0.779895093
  1 1 111  1,-0.95
  1 1 111 1 ,0.692223141
  1 1 111 11,-0.864149687
  1 1 1111  ,-0.0475
  1 1 1111 1,-2.581155937
  1 1 11111 ,-0.006774687
  1 1 111111,-0.99286875
  1 11      ,-0.005518025
  1 11     1,-0.073605912
  1 11    1 ,-0.073605912
  1 11    11,-0.737026343
  1 11   1  ,-0.034916865
